
2025/04/24 (11:01:50) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:52) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:52) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:52) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:52) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:52) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:54) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:54) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:54) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:54) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:56) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:56) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:56) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:56) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:56) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:58) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:58) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:58) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:00) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:00) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:00) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:00) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:02) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:02) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:02) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:02) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:04) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:04) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:04) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:04) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:06) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:06) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:06) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:06) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:06) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:08) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:08) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:08) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:08) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:08) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:10) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:10) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:10) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:10) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:10) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:12) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:12) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:12) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:12) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:14) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:14) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:14) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:14) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:14) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:16) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:16) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:16) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:18) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:18) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:18) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:18) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:18) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:20) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:20) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:20) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:20) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:20) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:22) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:22) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:22) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:22) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:22) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:24) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:24) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:24) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:24) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:24) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:26) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:26) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:26) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:26) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:26) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:28) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:28) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:28) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:30) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:30) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:30) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:30) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:32) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:32) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:32) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:32) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:34) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:02:34) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:02:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:02:34) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:02:34) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:02:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
